.provi04;
14018203;GOLF ACT 3 USA
14018204;GOLF ACT 4 AUSTRALIA
14018205;GOLF ACT 5 USA
14018206;GOLF ACT 6 USA
14018207;GOLF ACT 7 CHINA
14018301;(JUDO) AD 2014
14020301;ADMINISTRACION REMUNERACIONES ADO 2014
14020500;
14020501;SUELDO TECNICOS ADO P-205
14021401;(NATACION) ENTRENADORES 2014
14021501;(ATLETISMO) PARTO 2 AD 2014
14021502;ATLETISMO ACT 2 BRASIL
14021503;ATLETISMO ACT 3 EEUU
14021504;ATLETISMO ACT 4 COLOMBIA
14021506;ATLETISMO ACT 6 ESPAãA
14021507;ATLETISMO ACT 7 COLOMBIA
14021508;ATLETISMO ACT 8 CONC NACIONAL
14021509;ATLETISMO ACT 9 CONC NACIONAL
14021511;ATLETISMO ACT 11 CUBA
14021512;ATLETISMO ACT 12 NACIONAL
14021513;ATLETISMO ACT 13 NACIONAL
14021514;ATLETISMO ACT 14 NACIONAL
14021515;ATLETISMO ACT 15 NACIONAL
14021516;ATLETISMO ACT 16 ESPAãA
14022701;(BOWLING) AD 2014
14022702;BOWLING ACT 2
14022801;(BOXEO) AD 2014
14023901;(ESGRIMA) PARTE 2 AD 2014
14023902;ESGRIMA ACT 2 HUNGRIA
14023903;ESGRIMA ACT 3 ALEMANIA
14023904;ESGRIMA ACT 4 POLONIA
14024301;CICLISMO 2014
14024302;CICLISMO ACT 2
14024303;CICLISMO ACT 3
14024304;CICLISMO ACT 4
14024305;CICLISMO ACT 5
14024306;CICLISMO ACT 6
14024307;CICLISMO ACT 7 IMPLEMENTACION
14024308;CICLISMO ACT 8
14024312;CICLISMO ACT 12
14024313;CICLISMO ACT 13
14024314;CICLISMO ACT 14
14024315;CICLISMO ACT 15
14024316;CICLISMO ACT 16
14024601;ACT 1 LUCHA CONCENTRADO NACIONAL
14024602;ACT 2 LUCHA CONCENTRACION INTERNACIONAL CUBA
14024603;ACT 3 LUCHA CONCENTRACION NACIONAL
14024701;(GIMANSAI) AD 2014
14025201;P-252 PENTAT MODERNO AD 2014 USA
14025301;PATIN ACT 1.
14025302;PATIN ACT 2.
14025303;PATIN ACT 3
14025304;PATIN ACT 4.
14025305;PATIN ACT 5.
14025306;PATIN ACT 6
14025307;PATIN ACT 7
14025308;PATIN ACT 8
14025309;PATIN ACT 9.
14025401;(PESAS) APOYO DEPORTITAS AD 14
14025403;P-254 PESAS AD 2014 COLOMBIA
14025404;P-254 PESAS AD 2014 USA
14025405;P- 254 PESAS REP. DOMINICANA
14025501;P-255 TENIS MESA AD 2014 AUSTRIA
14025601;P- 256 TENIS MESA LIGA ALEMANA
14025602;P-256 TENIS MESA RM
14025603;P-256 TENIS MESA REP DOMIN
14025901;(PDE) HONORARIOS ACT 1
14025902;BALONMANO ACT 2 ARGENTINO
14025903;BALONMANO ACT 3 PASAJE ARG
14025904;BALONMANO ACT 4 ARGENTINA
14027501;P-275 PARALIMPICA AD 2014 ARGENTINA
14027502;P-275 PARALIMPICA A.DIRECTA BRASIL
14027503;P- 275 PARALIMPICA A.DIRECTA 2014 BRASIL
14027504;P- 275 PARALIMP ASIG DIR 2014 ECUA
14027801;(BOXEO) CAMPEONATO ASIGNACION DIRECTA 2014
14027901;P- 279 TENIS MESA LIGA (AD 2014)
14029101;P-291 TIRO C/ARCO AD 2014 II
14029201;P-292 AD 2014 RACQUETBALL USA
14029202;P-292 RACQUETBALL AD 2014 USA
14029203;P-292 RACQUETBALL AD 2014 USA
14029204;P-292 RACQUETBALL AD 2014 USA
14029900;
14029901;BALONMANO ACT 1 CHILE
14029902;BALONMANO ACT 2 PASAJE CHILE
14029903;BALONMANO ACT 3 CHILE
14029904;BALONMANO ACT 4 CHILE
14029905;BALONMANO ACT 5 CHILE
14029906;BALONMANO ACT 6 CHILE
14030001;(BASQUETBALL) APOYO DEPORTISTAS 2014
14030002;BASQUETBOL ACT 2
14030003;BASQUETBOL ACT 3
14030004;BASQUETBOL ACT 4
14030005;BASQUETBOL ACT 5
14030006;BASQUETBOL ACT 6
14030007;BASQUETBOL ACT 7
14030008;BASQUETBOL ACT 8
14030010;
14030601;(CANOTAJE) PARTE 2 AD 2014
14030602;CANOTAJE ACTIVIDAD 2
14030604;CANOTAJE ACT 4
14030605;CANOTAJE ACT 5
14031101;VARIOS AD 2014
14031103;VARIOS 1 ACT 3 CICLISMO ANDADOR
14031104;VARIOS ACT 4 PASAJES ATLETISMO
14031105;VARIOS 1 ACT 5 CICLISMO BMX
14031106;VARIOS 1 ASIGNACION JUDO ITALO CORDOVA
14031107;VARIOS 1 ASIGNACION TKD MARIO GUAJARDO
14031108;VARIOS 1 ASIGNACION TENIS DE MESA KAREN ROJAS
14031109;VARIOS ACT 9 PASAJE H. CESPED
14031401;(ESGRIMA) AD PARTE 3 2014
14031402;ESGRIMA ACT 2
14031403;ESGRIMA ACT 3
14031404;ESGRIMA ACT 4
14031405;ESGRIMA ACT 5
14031406;ESGRIMA ACT 6
14031407;ESGRIMA ACT 7
14031501;GIMNASIA ACT 1 BRASIL
14031502;GIMNASIA ACT 2 CHILE
14031801;GOLF ACT 1 ESPAãA
14031802;GOLF ACT 2 CHINA
14032301;LIGA NACIONAL RUGBY SEVEN
14032302;ALIMN Y ALOJA LIGA RUGBY SEVEN 2014
14032303;VIATICOS LIGA RUGBY SEVEN 2014
14032304;GASTOS GENERALES LIGA RUGBY SEVEN 2014
14033401;
14033501;ADMINISTRACION 2 GASTO BIENES Y SERVICIOS
14034001;(JUDO) APOYO DEPORTISTAS 2014
14034002;JUDO ACT 2 ECUADOR
14034003;JUADO ACT 3 CUBA-SALVADOR
14034004;JUDO ACT 4 CONC NACIONAL
14034101;KARATE AD 2014
14034102;KARATE ACTIVIDAD 2
14034103;KARATE ACTVIDAD 3
14034400;
14034401;LIGA RUGBY SUB 15
14034402;ALOJ Y ALIMN LIGA RUGBY 15 2014
14034403;VIATICOS LIGA RUGBY 15 2014
14034501;VIATICOS LIGA VOLEIBOL LINAME 2014
14034502;GASTOS GENERALES LIGA VOLEIBOL LINAME 2014
14034601;VIATICOS LIBCENTRO 2014
14034602;GASTOS GENERALES LIBCENTRO 2014
14034901;VIATICOS LIGA NACIONAL BASQUETBOL FEMENINA
14034902;TRANSPORTE LIGA BASQUETBOL FEMENINA 2014
14036801;P-368 PARALIMP MEXICO
14036802;P- 368 PARALIMP III ATACAMA
14036803;P-368 PARALIMP ITALIA
14036804;P-368 PARALIMP USA
14036805;P-368 PARALIMP RM
14036806;P-368 PARALIMP RM
14036807;P-368 PARALIMP RM
14036808;P-368 PARALIMP RM
14036809;P-368 PARALIMP RM
14036810;P-368 PARALIMP RM
14036811;P-368 PARALIMP EMIR ARAB UNI
14036812;P-368 PARALIMP RM
14036813;P-368 PARALIMP RM
14036814;P-368 PARALIMP RM
14036815;P-368 PARALIMP RM
14036816;P-368 PARALIMP RM
14036817;P-368  PARALIMP HUNGRIA
14036818;P-368 PARALIMP ARGENTINA
14036819;P- 368 PARALIMPICA PTO RICO
14036820;P-368 PARALIMP BRASIL
14036821;P-368 PARALIMP P. BAJOS
14036822;P-368 PARALIMP IV COQUIMBO
14036823;P- 368 PARALIM AD 2014 R.METROPOL.
14038901;(HOCKEY CESPED) AD 2014
14038902;ACT 2 H. CESPED
14039201;P-392 POLO ACUATICO PERU
14039202;NATACION ACT 2
14039203;NATACION ACT 3
14039204;NATACION ACT 4
14039205;NATACION ACT 5
14039206;NATACION ACT 6
14039301;P- 393 REMO V VALPO
14039302;P- 393 REMO AD 2014 R.METROPOL
14039303;P- 393 REMO AD 2014 ESPAãA
14039304;P- 393 REMO AD 2014 ESPAãA
14039401;P- 394 RUGBY II CHINA
14039402;P- 394 RUGBY II RM
14039403;P-394 RUGBY II AD 2014 RM
14040001;P-400 TIRO BLANCO USA
14040002;P- 400 TIRO BLANCO ALEMANIA
14040003;P-400 TIRO BLANCO ESPAãA
14040010;(CANOTAJE) HEAD COACH 2014
14040020;PASAJES LIGA BALONMANO 2014
14040101;P- 401 TIRO VUELO USA
14040102;P-401 TIRO VUELO AD 2014
14040103;P-401 TIRO VUELO AD 2014 ALEMANIA
14040104;P- 401 TIRO VUELO AD 2014 FRANCIA
14040105;P- 401 TIRO VUELO AD 2014 ITALIA
14040106;P- 401 TIRO VUELO AD 2014 MEXICO
14040107;P- 401 TIRO VUELO AD 2014 R.METROP.
14040301;(TIRO AL BLANCO) IMPLEMENTACION MUNICIONES
14040401;VIATICOS LIGA BALONMANO 2014
14040402;TRANSPORTE LIGA BALONMANO 2014
14040403;ALOJAMIENTO Y ALIMENTACION LIGA BALONMANO 2014
14040404;PUBLICIDAD E IMPRESOS LIGA BALONMANO 2014
14040405;TROFEOS Y MEDALLAS LIGA BALONMANO 2014
14040406;GASTOS GENERALES LIGA BALONMANO 2014
14040601;BOXEO
14040602;BOXEO ACT 2 CUBA
14040603;BOXEO ACT 3 ECUADOR
14040801;TROFEOS Y MEDALLAS LIGAS DE BASQUETBOL 2014
14041001;P- 410 VOLEY PISO BRASIL
14041002;P-410 VOLEY PISO BRASIL
14041003;P-410 VOLEY PISO RM
14041101;P- 411 VOLEY PLAYA II BRASIL
14041102;P- 411 VOLEY PLAYA II URUGUAY
14041103;P- 411 VOLEY PLAYA II PERU
14041104;P- 411 VOLEY PLAYA II BOLIVIA
14041105;P- 411 VOLEY PLAYA II ARGENT
14041106;P-411 VOLEY PLAYA II MEXICO
14041107;P- 411 VOLEY PLAYA II COLOMB
14044010;
14045301;BADMINTON AD 2014
14047501;ALOJ Y ALIMN CUADRANGULAR LIGA BASQUET FEMEN 2014
14047502;TRANSPORTE CUADRANGULAR FEMENINO BASQUET 2014
14052301;PATIN HONORARIOS TECNICO
14053301;(BADMINTON)N
14053401;(BALONMANO) PARTE 3 AD 2014
14053402;BALONMANO ACT 2
14053601;ACT 1 TECNICO DEPORTIVO ROSAMEL ESPEJO
14053701;(CANOTAJE) PARTE 3 AD 2014
14053702;CANOTAJE ACT 2
14053801;(LIGA BASQUETBALL) COORDINADORES LIGA 2014
14053901;TROFEOS Y MEDALLAS LIGAS VOLEIBOL
14054201;(CICLISMO) PARTE 2 AD 2014
14054202;CICLISMO ACT 2 .
14054203;CICLISMO ACT 3.
14054204;CICLISMO ACT 4.
14054205;CICLISMO ACT 5
14054206;CICLISMO ACT 6.
14054401;GIMNASIA ACT 1
14054402;GIMNASIA ACT 2
14054403;GIMANSIA ACT 3 CANADA
14054404;GIMNASIA ACT 4
14054501;GOLF ACT 1
14054502;GOLF ACT 2
14054503;GOLF 3 .
14054601;HOCKEY CESPED ACT 1
14054602;HOCKEY CESPRED ACT 2
14054701;P- 547 PENTAT MOD HUNGRIA
14054702;P- 547 PENTAT MOD POLONIA
14054703;P- 547 PENTAT MOD RUSIA
14055201;P- 552 SQUASH AD 2014 PARAGUAY
14055202;P- 552 SQUASH AD 2014 CANADA
14055301;(HEAD COACH) RUGBY AD 2014
14055401;P-554 TIRO ARCO AD 2014 II EEUU
14055402;P-554 TIRO ARCO AD 2014 II COLOMBIA
14055403;P-554 TIRO ARCO AD 2014 II MEXICO
14055404;P-554 TIRO ARCO AD 2014 II POLONIA
14055405;P-554 TIRO ARCO AD 2014 II R.METROP.
14056201;PDE PARTE 2 BALONMANO ACT NÁ 1
14056801;P-568 TENIS MESA CIRCUITO MUNDIAL
14057901;JUDO COMPLEMENTO P- 044
14058101;(CANOTAJE) IMPLEMENTACION COMPLEMENTO P 825
14058601;P-  586 TRIATLON AD 2014 R.METROP
14058602;P- 586 TRIATLON AD 2014 R.METROP.
14058603;P-586 TRIATLON AD 2014 VALPO
14058604;P-586 TRIATLON AD 2014 USA
14058605;P-586 TRIATLON AD 2014 MEXICO
14058606;P-586 TRIATLON AD 2014 MEXICO
14058607;P-586 TRIATLON AD 2014 ARGENT
14058608;P-586 TRIATLON AD 2014 USA
14058609;P-586 TRIATLON AD 2014 MEXICO
14059600;
14059601;VIATICOS EXTRANJEROS LIGA DIRECTV
14059602;TRANSPORTE LIGA DIRCTV 2014
14059801;PATINAJE AD 2014
14060101;HEAD COACH ESQUI NAUTICO
14060301;SUPERVICIONES ADO 400
14060302;SUPERVICIONES ACT 2
14060303;SUPERVICIONES ACT 3.
14060901;P- 609 TRIATLON B.RIVEROS AD 2014
14061001;P-610 TIRO BLANCO AD 2014 ESPAãA
14061002;P-610 TIRO BLANCO MEXICO
14061801;VARIOS ACT 1
14061803;VARIOS ACT 3 ATLETISMO
14061804;VARIOS ACT 4CANOTAJE TAFRA
14061805;VARIOS ACT PARALIMPICA DETTONI
14061806;VARIOS 618 ACT 6
14061901;P- 619 TENIS ADO 400 USA
14061902;P- 619 TENIS  ADO 400 COLOMBIA
14061903;P- 619 TENIS ADO 400 BRASIL
14061904;P- 619 TENIS ADO 400 ECUADOR
14061905;P- 619 TENIS ADO 400 PTO RICO
14061906;P- 619 TENIS ADO 400 BELGICA
14061907;P- 619 TENIS ADO 400 BELGICA
14061908;P- 619 TENIS ADO 400 ALEMANIA
14061909;P- 619 TENIS ADO 400 USA
14061910;P- 619 TENIS ADO 400 USA
14061911;P- 619 TENIS ADO 400 ECUADOR
14061912;P- 619 TENIS ADO 400 COLOMBIA
14061913;P- 619 TENIS ADO 400 BOLIVIA
14061914;P- 619 TENIS ADO 400 MEXICO
14061915;P- 619 TENIS ADO 400 P.BAJOS
14061916;P- 619 TENIS ADO 400 P.BAJOS
14061917;P- 619 TENIS ADO 400 ESPAãA
14061918;P- 619 TENIS ADO 400 ECUADOR
14061919;P- 619 TENIS ADO 400 VENEZUELA
14061920;P- 619 TENIS ADO 400 ARGENTINA
14061921;P- 619 TENIS ADO 400 ARGENTINA
14061922;P- 619 TENIS ADO 400 ECUADOR
14061923;P- 619 TENIS ADO 400 ECUADOR
14061924;P- 619 TENIS ADO 400 BRASIL
14061925;P- 619 TENIS ADO 400 BRASIL
14061926;P- 619 TENIS ADO 400 URUGUAY
14061927;P- 619 TENIS ADO 400 PERU
14061928;P- 619 TENIS ADO 400 MEXICO
14062001;P- 620 PENTAT MOD POLONIA
14062101;JUDO ACT 1.
14062102;JUDO ACT 2.
14062201;NATACION PARTE 3
14062202;NATACION ACT 2.
14062203;NATACION ACT 3.
14062204;NATACION ACT 4.
14062205;NATACION ACT 5.
14062206;NATACION ACT 6.
14062207;ACT 7  NATACION CUBA
14062301;HONORARIOS COORDINADORES LIGA A-1
14062302;HONORARIOS ARBITROS LIGA A-1
14062303;HONORARIOS NO PROFESIONAL DE APOYO AL EVENTO
14062304;
14062305;ALOJAMIENTO Y ALIMENTACION LIGA A-1
14062306;GASTOS GENERALES LIGA A-1
14062307;VIATICOS EXTRANJEROS LIGA A-1
14062308;TRANSPORTE LIGA A-1
14062401;PELOTA VASCA AD 2014
14062402;PELOTA VASCA ACT 2.
14062501;P-625 PESAS AD 2014 II VENEZUELA
14062502;P-625 PESAS AD 2014 II COLOMBIA
14062503;P-625 PESAS AD 2014 KAZAJISTAN
14062601;(BALONMANO) PDE PARTE 3 PROD 1
14062701;GIMNASIA ACT1
14062702;GIMNASIA ACT 2
14062703;GIMNASIA ACT 3.
14062704;GIMANSIA ACT 4.
14062705;GIMANSIA ACT 5 .
14062801;P- 628 TIRO ARCO AD 2014 ARGENT
14062901;ATLETISMO ACT 1
14062902;ATLETISMO 2
14062903;ATLETISMO ACT 3
14062904;ATLETISMO ACT 4
14062905;ATLETISMO ACT 5
14062906;ATLETISMO ACT 6
14062907;ATLETISMO ACT 7
14062908;ATLETIISMO ACT 8
14062909;ATLETISSMO ACT 9
14062910;ATLETISMO ACT 10.
14062911;ATLETISMO ACT 11.
14062912;ATLETISMO ACT 12.
14062913;ATLETISMO ACT 13 .
14062914;ATLETISMO ACT 14.
14062915;ATLETISMO ACT 15.
14062916;ATLETISMO ACT 16.
14062917;ATLETISMO ACT 17.
14062918;ATLETISMO ACT 18.
14062919;ATLETISMO ACT 19.
14062920;ATLETISMO ACT 20.
14062921;ATLETISMO ACT 21 .
14062922;ATLETISMO ACT 22.
14062923;ATLETISMO ACT 23
14062924;
14062925;ATLETISMO ACT 25.
14062926;ATLETISMO ACT 26.
14062927;ATLETISMO ACT 27.
14062928;ATLETISMO ACT 28.
14062930;ATLETISMO ACT 30.
14063201;P-632 TKD AD 2014 R.METROP.
14063202;P-632 TKD AD 2014 BOLIVIA
14063203;P- 632 TKD AD 2014 CHINA
14063204;P- 632 TKD AD 2014 ARGENTINA
14063205;P-632 TKD AD 2014 CTA.RICA
14063206;P- 632 TKD AD 2014 REINO UNIDO
14063302;
14063401;BALONMANO ACT 1
14063501;BALONMANO
14063502;ACT 2 BALONMANO
14063503;ACT 3 PASAJE BALONMANO
14063504;ACT 4 BALONAMANO
14063505;ACT 5 VIATICO
14063506;ACT 6 PASAJE
14063601;BOXEO ACT 1
14063815;
14064010;
14064020;
14065101;P- 651 RUGBY III AD 2014 ARGENTINA
14065102;P- 651 RUGBY III AD 2014 ARGENTINA
14065201;P-652 SQUASH II PERU
14065301;P-653 PARALIMP III COLOMBIA
14065302;P-653 PARALIMP III INGLATERRA
14065303;P- 653 PARALIMP III CHINA
14065304;P-653 PARALIMP III USA
14065305;P- 653 PARALIMP III MEXICO
14065306;P- 653 PARALIMP III ITALIA
14065307;P- 653 PARALIMP III ECUADOR
14065308;P- 653 PARALIMP III BRASIL
14065309;P- 653 PARALIMP III ALEMANIA
14065310;P-653 PARALIMP III BRASIL
14065311;P- 653 PARALIMP III ARGENTINA
14065312;P- 653 PARALIMP III USA
14065313;P- 653 PARALIMP III COLOMBIA
14065314;P-653 PARALIMP III COSTA RICA
14065401;VARIOS 3
14065402;VARIOS ACT 2
14065403;VARIOA ACT 3.
14065404;ESQUI NAUTICO VALENTINA G. ACT 4
14065405;VARIOS ACT 5.
14065406;VARIOS ACT 6 .
14065501;P-655 TENIS MESA III GUATEMA
14065502;P- 655 TENIS MESA III ALEMANIA
14065503;P-655 TENIS MESA III FRANCIA
14065504;P- 655 TENIS MESA III ALEMANIA
14065601;P-656 TIRO BLANCO III ALEMANIA
14065602;P-656 TIRO BLANCO III MEXICO
14065801;P-658 TIRO VUELO II ITALIA
14065802;P- 658 TIRO VUELO II MEXICO
14065901;P- 659 TIRO ARCO IV ALEMANIA
14066001;P-660 TRIATLON II MEXICO
14066002;P-660 TRIATLON II MEXICO
14066201;P-662 VOLEY PLAYA III COLOMBIA
14066202;P- 662 VOLEY PLAYA III BRASIL
14066203;P- 662 VOLEY PLAYA III ECUADOR
14066204;P- 662 VOLEY PLAYA III BOLIVIA
14066301;P- 663 TENIS III ARGENTINA
14066302;P- 663 TENIS III MEXICO
14066303;P- 663 TENIS III ECUADOR
14066701;BADMINTON AD 2014
14066801;BOXEO
14066901;KARATE AD 2014
14067201;CICLISMO ACT 1.
14067202;CICLISMO ACT 2
14067204;CICLISMO ACT 4
14067205;CICLISMO ACT 5.
14067206;CICLSIMO ACT 6 .
14067207;CICLISMO ACT 7.
14067208;CICLISMO ACT 8 .
14067209;CICLISMO ACT 9.
14067401;SUPERVICIONES 2
14067402;P- 674 SUPERVISIONES ADO 400 II
14067403;P- 674 SUPERVISIONES II
14067701;P- 677 VOLEIBOL ADO 400 PERU
14067702;P-677 VOLEIBOL ADO 400 COLOM
14067703;P-677 VOLEIBOL ADO 400 BRASIL
14067704;P-677 VOLEIBOL ADO 400 COLOM
14067705;P-677 VOLEIBOL ADO 400 COLOM
14067706;P- 677 VOLEIBOL ADO 400 BRASIL
14068001;LUCHA AD 2014
14068101;P- 681 TENIS CAMPO 4 AD 2014  AUSTRALIA
14068201;(ATLETISMO) ENTRENADORES 2014
14068601;P-686 TENIS MESA AD 2014 COMPEM
14068701;P-687 TENIS MESA ADO 400 COMPL
14068801;CICLISMO IMPLEMENTACION DEPORTIVA
14068901;ESQUINA NAUTICO
14069101;NATACION AD 2014
14069301;(GIMNACIA) PDE ACT 2
14069302;(GIMNASIA) PDE ACT 2
14069303;(GIMNASIA) PDE ACT 3
14069304;(GIMNASIA) PDE ACT 4
14069501;(GIMNASIA) PDE PARTE 2 - 2014
14069502;(GIMNASIA) ACT 2 PDE JUEZ
14069503;(GYM) PDE 2 ACT 3 PERU
14069504;(GYM) PDE 2 ACT 4 COLOMBIA
14069505;(PDE) GYM PARTE 2 ACT 5 TURQUIA
14072020;
14080501;
14086020;
14096301;
14097501;
14203010;
14205010;
14256010;
14401010;
14544002;ATC 2 GIMANSIA
14544020;GIMANSIA ACT 2 USA
14547010;
14623070;
14677050;
14693010;
15001280;
15004010;
15004106;
15004600;
15004601;Liga Deportista Nacional de Balon Mano Dama  y Varones
15004602;Liga Deportista Nacional de Balon Mano Dama  y Varones
15004603;Liga Deportista Nacional de Balon Mano Dama  y Varones
15004604;Liga Deportista Nacional de Balon Mano Dama  y Varones
15004801;LIGA VOLEY PLAYA ACT 1
15004802;LIGA VOLEY PLAYA ACT 2
15004803;LIGA VOLEY PLAYA ACT 3
15004804;LIGA VOLEY PLAYA ACT 4
15004805;LIGA VOLEY PLAYA ACT 5
15004806;LIGA VOLEY PLAYA ACT 6
15004807;LIGA VOLEY PLAYA ACT 7
15004808;LIGA VOLEY PLAYA ACT8
15004809;LIGA VOLEY PLAYA ACT 9
15004960;
15005901;
15006801;COMPLEMENTO LIGA BASQUETBOL 2014-2015
15006802;TRANSPORTE LIGA
15006803;TRANSPORTE LIGA
15006804;TRANSPORTE LIGA 4
15006805;TRANSPORTE LIGA ACT 5
15006806;TRANSPORTE LIGA ACT 6
15006807;TRANSPORTE LIGA ACT 7
15006808;TRANSPORTE LIGA ACT 8
15006809;TRANSPORTE LIGA ACT 9
15008002;
15008050;
15009701;(TIRO CON ARCO) HEAD COACH 2015
15010701;(BASQUETBOL) HEAD COACH RICARDO GONZALEZ
15010901;(BALONMANO) HEAD COACH 2015
15011301;(VOLEIBOL) HEAD COACH 2015
15011401;(VELA) HEAD COACH 2015
15011801;(NATACION) HEAD COACH 2015
15012701;(BOXEO) HEAD COACH 2015 JESUS MARTINEZ
15012801;(ESGRIMA) HEAD COACH 2015 FLORIANO GUIZZARDI
15012901;(JUDO) HEAD COACH 2015
15013001;(NATACION CLAVADOS) HEAD COACH 2015
15013101;(ESQUI NAUTICO) HEAD COACH 2015 TANNEGUY BENET
15013401;(HEAD COACH) RUGBY 2015
15013501;(TENIS DE CAMPO) HEAD COACH 2015
15013600;
15013601;(LUCHA) HEAD COACH 2015
15013701;(HOCKEY CESPED) HEAD COACH 2015
15013801;(REMO) HEAD COACH 2015
15013901;P- 139 (PATIN CARRERA) ENTRENADOR
15015401;BALONMANO PROD 1
15016101;(VOLEIBOL PISO) PROD 1
15016201;(TIRO AL VUELO) PROD 1
15016301;(VOLEIBOL PLAYA) PROD 1
15016401;(RUGBY) PROD 1
15016501;(TRIATLON) PROD 1
15016601;(TIRO CON ARCO) PROD 1
15016701;(TIRO AL BLANCO) PROD 1
15016801;(TENIS DE CAMPO) PROD 1
15016901;(HOCKEY CESPED) PROD 1
15017001;(ESGRIMA) PROD 1
15017201;(CICLISMO) PROD 1
15017401;(KARATE) PROD 1
15017501;BIATLON (PROD.1)
15017601;(ADMINISTRACION) PROD 1
15017610;
15017701;(REMO) PROD 1
15017801;(NATACION) PROD 1
15018001;LIGA BALONMANO HEXAGONAL DAMAS ACT 1
15018002;LIGA BALONMANO OCTOGONAL VARONES ACT 2
15018020;
15019000;
15019901;(ATLETISMO) PROD 1
15020601;(TENIS DE MESA) PROD 1
15020602;T.MESA ACT 2 2015
15020603;P-206 TENIS MESA PROD 3
15020604;P-206 TENIS MESA PROD 4
15020801;(PENTATLON MODERNO)
15021001;(NATACION) PROD 1
15021201;BALONMANO ACT 1 2015
15021202;BALONMANO ACT 2015
15021301;(BOXEO) PROD 1
15023501;H.CESPED ACT 1
15023502;HOCKEY CESPED ACT 2 2015
15023503;HOCKEY CESPED ACT 3 2015
15025101;ESGRIMA ACT 1 2015
15025102;ESGRIMA ACT 2 2015
15025103;ESGRIMA ACT 3 2015
15025104;ESGRIMA ACT 4 .2015
15025105;ESGRIMA ACT 5 2015
15025106;ESGRIMA ACT 6 2015
15025301;ATLETISMO P-253 ACT 1
15025302;ATLETISMO ACT 2 2015..
15025303;ATLETISMO ACT 3
15025304;ATLETISMO ACT 4 2015..
15025305;ATLETISMO ACT 5 2015..
15025306;ATLETISMO ACT 6 ...2015
15025307;ACTETISMO ACT 7 2015
15025308;ACT 8 ATLETISMO 2015
15025309;ATLETISMO ACT 9   2015
15025310;ACT 10 ATLETISMO 2015
15025311;ATLETISMO ACT 11 2015
15025312;ATLETISMO ACT 12 2015
15025313;ATLETISMO ACT 13 2015
15026001;(TIRO AL VUELO) HEAD COACH 2015
15026705;
15028401;(BADMINTON) PROD 1
15028601;(BOWLING) PROD 1
15028602;BOWLING ACT 2
15028701;CICLISMO ACT 1 2015
15028702;ACT 2 CICLISMO 2015
15028703;CICLISMO ACT 3 2015
15028704;CICLISMO ACT 4 2015
15028705;CICLISMO ACT 5 2015
15028706;CICLISMO ACT 6 2015
15028707;CICLISMO ACT  7 2015
15028708;CICLISMO ACT 8 2015
15028709;CICLISMO ACT 9 2015
15028710;CICLISMO ACT 10 2015
15028711;CICLISMO ACT 11 2015
15028712;CICLISMO ACT 12 2015
15028713;CICLISMO ACT 13
15028714;CICLISMO ACT 14 2015
15029000;
15029001;HOCKEY CESPED ACT 1 2015
15029301;JUDO 2015.
15029401;(KARATE) PROD 1
15029402;karate act 2 2015
15029403;KARATE ACT 3 2015
15029404;KARATE ACT 4 2015
15029405;KARATE ACT 5 2015
15029801;NATACION ACT 1 2015
15029802;NATACION ACT 2 2015.
15029803;NATACION ACT 3 2015
15029804;NATACION ACT 4 2015
15029805;NATACION ACT 5 2015
15029806;NATACION ACT 6 2015
15029807;PASAJE ACT 7 2015
15029808;NATACION ACT 8 2015
15029809;NATACION ACT 9 2015
15029811;NATACION ACT 11 2015
15029813;NATACION ACT 11 2015
15029814;NATACION ACT 14
15029815;NATACION ACT 2015
15030201;(PARALIMPICA) PROD 1
15030301;PATIN ACT 1
15030302;ACT 3 PATIN HONORARIOS
15030303;ACT 3 PATIN 2015
15030304;PATIN ACT 4 2015
15030305;ACT 5 PATIN 303
15030306;ACT 6 PçTIN 2015
15030401;P-304 PESAS AD 2015 PROD 1
15030402;P-304 PESAS PROD 2
15030501;RUGBY ACT 1 2015
15030502;P- 305 ACT 2 ARGENTINA
15030601;(TENIS DE CAMPO) PROD 1
15030629;
15033010;
15033301;PANAMERICANO DE LUCHA 2015
15033302;COMPLEMENTO SUDAMERICANO LUCHA
15033701;(TIRO AL BLANCO) PROD 1
15033702;P- 337 TIRO AL BLANCO PROD 2
15033801;(VOLEIBOL PLAYA) PROD 1
15033802;P- 338 VOLEY PLAYA ACT.2
15033803;P- 338 VOLEY PLAYA ACT. 3
15033804;P- 338 VOLEY PLAYA ACT.4
15033805;P- 338 VOLEY PLAYA ACT.5
15033901;TRIATLON (PROD. 1)
15033902;P- 339 TRIATLON ACT.2
15033903;P- 339 TRIATLON ACT. 3
15033904;P-339 TRIATLON ACT.4
15033905;P- 339 TRIATLON ACT.5
15033906;P- 339 TRIATLON ACT.6
15033907;
15033908;P- 339 TRIATLON ACT. 8
15034601;P- 346 REMO ACT. 1
15034602;P- 346 ACT 2 VALPO
15034603;P- 346 ACT 3
15034640;
15036502;
15037301;P- 373 VOLEIBOL PROD 1
15037302;P- 373 VOLEIBOL PISO AD 2015 ACT 2
15037303;P- 373 VOLEIBOL PISO ACT 3
15037304;P- 373 VOLEIBOL PISO AD 2015 ACT 4
15037305;P- 373 VOLEIBOL PISO AD 2015 ACT 5
15037306;P-373 VOLEIBOL PISO AD 2015 ACT 6
