.provi04;
13044303;LIGA NACIONAL RUGBY ACT 3, ALOJ Y ALIM
13044330;
13044801;(TIRO CON ARCO) APOYO A DEPORTISTAS 2013
13044802;(TIRO ARCO) AD 2013 ACT. 2
13044901;LIGA SEVEN DE RUGBY 2013
13044902;LIGA SEVEN RUGBY PRODUCTO 2 TRASLADOS
13045101;(RAQUTBOL) APOYO A DEPORTISTAS 2013
13045402;(PARALIMPICA) TENIS DE MESA CUBA
13045403;(PARALIMPICA) AD 2013 USA AUSTIN
13045404;(PARALIMPICA)  TENIS FRANCISCA MARDONES EEUU
13045406;(PARALIMPICA) FRANCISCA MARDONES EEUU
13045407;(PARALIMPICA) AD 2013 ACT 7 ARG
13045408;(PARALIMPICA)  ATLETISMO CRISTIAN VALENZUELA
13045409;(PARALIMPICA)  ATLETISMO INGLATERRA CRISTIAN VALENZUELA
13045410;(PARALIMPICA)  ATLETISMO FEM. Y MASC. COLOMBIA
13046301;ATLETISMO APOYO DEPORTISTA 2013
13046302;ATLETISMO ACT 2 EEUU
13046303;ATLETISMO ACT 3 MEXICO
13046304;ATLETISMO ACT 4 EEUU
13046305;ATLETISMO ACT 5 VALPARAISO
13046306;ATLETISMO ACT 6 PTO MONTT
13046307;ATLETISMO ACT 7
13046308;ATLETISMO ACT 8 AUSTRALIA
13046309;ATLETISMO ACT 9  EEUU
13047501;LIGA NACIONAL DE VOLEIBOL MENORES LINAME
13047502;LIGA VOLLEY LINAME PRODUCTO 2, VIATICOS
13048301;(BOWLING) APOYO DEPORTISTAS 2013 ARGENTINA
13048501;(CICLISMO)BMX WORLD CUP INGLATERRA
13048502;(CICLISMO)BMX CONCENTRADO ARGENTINA
13048701;GIMNASIA ARTISTICA FEMENINA ALEMANIA /FRANCIA
13049001;(GIMNASIA) HEAD COACH 2013
13049301;(REMO) APOYO DEPORTISTAS 2013
13049901;PATIN CARRERA CONCENTRADO SANTIAGO
13049902;PATIN CARRERA MEDELLIN COLOMBIA
13049903;PATIN CARRERA VENEZUELA
13049904;PATIN CARRERA COLOMBIA
13049905;PATIN CARRERA COLOMBIA
13049906;PATIN CARRERA COLOMBIA
13049907;PATIN CARRERA COLOMBIA
13049908;PATIN CARRERA COLOMBIA
13049909;PATIN CARRERA COLOMBIA
13050401;(TIRO CON ARCO) DENISSE VAN L. 2013
13051001;(PESAS) APOYO DEPORTISTAS 2013 PARTE II
13052201;(RUGBY) APOYO DEPORTISTAS 2013 PARET II
13053001;(GIMNASIA TOMAS GONZALEZ) APOYO A DEPORTISTAS 2013
13053101;(SQUASH) APOYO DEPORTISTAS 2013
13053201;LIGA NACIONAL  DE BALONMANO VARONES
13053202;LIGA NACIONAL DE BALONMANO VARONES PRODUCTO 2
13053203;LIGA NACIONAL DE BALONMANO VARONES PRODUCTO 3
13053204;LIGA NACIONAL DE BALONMANO VARONES PRODUCTO 4
13053205;LIGA NACIONAL DE BALONMANO VARONES PRODUCTO 5
13053206;LIGA NACIONAL DE BALONMANO VARONES PRODUCTO 6
13054501;(TRIATLON) B.RIVEROS AD 2013
13054601;NATACION KK ACT 1
13054602;NATACION KK ACT 2
13054603;NATACION KK ACT 3
13054604;NATACION KK ACT 4
13054605;NATACION KK ACT 5
13054801;LIGA VOLEIBOL
13055801;LIGA NACIONAL BALONMANO FEMENINA
13055802;LIGA BALONMANO FEMENINA PRODUCTO 2
13055803;LIGA FEMENINA BALONMANO PRODUCTO 3
13055804;LIGA FEMENINA BALONMANO PRODUCTO 4
13057501;(VOLEIBOL PISO) AD 2013 II GUATEMALA
13057502;(VOLEIBOL PISO) AD 2013 II BRASIL
13057503;(VOLEIBOL PISO) AD 2013 II MEXICO
13057504;(VOLEIBOL PISO) AD 2013 II BRASIL
13057505;(VOLEIBOL PISO) AD 2013 II  PERU
13057506;(VOLEIBOL PISO) AD 2013 II RM
13057801;TENIS  ACT 1 BOLIVIA
13057802;TENIS ACT 2 ALEMANIA
13057803;TENIS ACT 3 PERU
13057804;TENIS ACT 4 FRANCIA
13057805;TENIS ACT 5  ARGENTINA
13057806;TENIS ACT 6 ITALIA
13057807;TENIS ACT 7 ITALIA
13057808;TENIS ACT 8 MEXICO
13057809;TENIS ACT 9 BRASIL
13057810;TENIS ACT 10 ECUADOR
13057811;TENIS ACT 11 MEXICO
13057812;TENIS ACT 12 BOLIVIA
13057813;TENIS ACT 13 ECUADOR
13057814;TENIS ACT 14 PANAMA
13057815;TENIS ACT AUSTRIA
13057816;TENIS ACT 16 MEXICO
13057817;TENIS ACT 17 ITALIA
13057818;TENIS ACT 18
13057819;TENIS ACT 19 ARG
13057820;TENIS ACT 20
13057901;(TIRO AL BLANCO) AD 2013 PTE II
13058001;(PESAS) AD 2013 PTE III
13058101;(PARALIMPICA) PESAS BRASIL ACT 6
13058102;(PARALIMPICA) PARTE 2 ACT 2 PESAS RUSIA
13058103;(PARALIMPICA) PARTE 2 ACT 3 TENIS SILLA TURQUIA
13058104;(PARALIMPICA) PARTE 2 ACT 4 TENIS MESA ESLOVAQUIA
13058105;(PARALIMPICA) PARTE 2 ACT 5 SKI STGO
13058106;(PARALIMPICA) PARTE 2 PESAS ACT 6
13058107;(PARALIMPICA) PARTE 2 ACT 7 CRISTIAN VAL ESPAãA
13058108;(PARALIMPICA) PARTE 2 ACT 8 TENIS SILLA FRANCIA
13058109;(PARALIMPICA) PROD NÁ9 NATACION  CANADA
13058110;(PARALIMPICA) PARTE 2 ACT 10 BOCHAS USA
13058111;(PARALIMPICA) PARTE 2 ACT 11 TENIS SILLA USA
13058112;(PARALIMPICA) PARTE 2 ACT 12 TENIS SILLA USA
13058113;(PARALIMPICA) PARTE 2 ACT 13 TENIS SILLA STGO
13058201;ATLETISMO ACT 1 ARG
13058202;ATLETISMO ACT 2 BRASIL
13058203;ATLETISMO ACT 3 BRASIL
13058204;ATLETISMO ACT 4 CUBA
13058205;ATLETISMO ACT 5 BRASIL
13058206;ATLETISMO ACT 6 COLOMBIA
13058207;ATLETISMO ACT 7 ATACAMA CHILE
13058208;ATLETISMO ACT 8 REGION BIO BIO
13058209;ATLETISMO ACT 9 SANTIAGO
13058210;ATLETISMO ACT 10   ESPAãA
13058211;ATLETISMO ACT 11 VALPARAISO
13058212;ATLETISMO ACT 12 SANTIAGO
13058213;ATLETISMO ACT 13 ESPAãA
13058214;ATLETISMO ACT 14   PERU
13058215;ATLETISMO ACT 15 SANTIAGO
13058216;ATLETISMO ACT 16 EEUU
13058217;ATLETISMO ACT 17 COLOMBIA
13058218;ATLETISMO ACT 18 VALPARAISO
13058219;ATLETISMO ACT 19  BOLIVIA
13058601;(CANOTAJE) APOYO DEPORTISTAS 2013
13058801;LIGA A2 VOLEIBOL VIATICOS
13058802;LIGA A2 VOLLEYBALL TRANSPORTE ITEM 2
13058803;LIGA BALONAMANO FEMENINA, PRODUCTO 3  ALOJ Y ALIM
13058901;(PELOTA VASCA) TORNEO INTERNACIONAL LIMA - PERU
13058902;(PELOTA VASCA) COMPETENCIA BUENOS AIRES - ARGENTINA
13059101;(TENIS DE MESA) APOYO DEPORTISTAS 2013
13059102;(TENIS MESA) II AD 2013
13059401;(TRIATLON) AD 2013 MEXICO
13059402;TRIATLON AD 2013 MEXICO
13059403;(TRIATLON) AD 2013 BRASIL
13059404;(TRIALTON) AD 2013 SUECIA
13059405;(TRIATLON) AD 2013 EEUU
13059406;(TRIATLON) AD 2013 EEUU II
13059501;(VOLEY PLAYA) AD 2013 II VENEZ
13059502;VOLEY PLAYA AD 2013 ARGENT
13059503;(VOLEY PLAYA) AD 2013 BRASIL
13059504;(VOLEY PLAYA) AD 2013 POLON
13059701;(BOXEO) ELITE FEMENINO PUERTO AL CRUZ
13059702;(BOXEO) SELECCIONADO MASCULINO PUERTO RICO -CUBA-VENEZUELA
13059703;(BOXEO) CAMPEONATO FEMENINO PUERTO RICO Y VENEZUELA
13060001;ESGRIMA
13060002;ESGRIMA ACT 2 CUBA
13060003;ESGRIMA ACT 3 ARGENTINA
13060004;ESGRIMA ACT 4 CUBA
13060005;ESGRIMA ACT 5 COLOMBIA
13060006;ESGRIMA ACT 6 HUNGRIA
13060007;ESGRIMA ACT 7 ARGENTINA
13061107;
13061601;TIRO CON ARCO AD 2013 II ALEM
13061602;TIRO CON ARCO AD 2013 II COLOM
13061603;TIRO CON ARCO AD 2013 II COSTA RICA
13061604;TIRO CON ARCO AD 2013 II ESPAãA
13061605;(TIRO CON ARCO) AD 2013 CHINA
13062511;TENIS DE CAMPO
13062801;(CANOTAJE) POL- ALM
13063201;(BALONMANO) ACT 1 ARGENTINA  DAMAS
13063202;(BALONMANO) ACT 2 BRASIL VARONES
13063203;(HANDBALL) PART 2 ALOJAMIENTO FRANCIA
13063401;(JUDO) PARTE 2 EEUU ACT 1
13063402;(JUDO) PARTE 2 ESPAãA ACT 2
13064001;(TIRO AL BLANCO) AD 2013 COMPLEM
13064002;(TIRO AL BLANCO) AD 2013 III ESPAãA
13064601;(CICLISMO) ACT 1 ESPAãA CARLOS OYARZUN
13064602;(CICLISMO) ACT 2 AUCKLAND
13064603;(CICLISMO) ACT 3 PAOLA MUãOZ STGO
13064604;(CICLISMO) ACT 4 SUDAFRICA
13064701;NATACION KRISTEL KOBRICH
13064702;NATACION KK CONCENTRADO - MUNDIAL
13064703;NATACION KK ACT 3
13064704;NATACION ACT 4 KK
13064801;(LUCHA) PARTE 2 CUBA ACT 1
13064901;GIMNASIA GAF-GAM ACT- 1
13065001;(BASQUETBOL) ARGENTINA DAMAS
13065002;(BASQUETBOL) ACT 2 MENDOZA - ARGENTINA DAMAS
13065201;(PESAS) IV AD 2013 PERU
13065202;(PESAS) IV AD 2013 COLOMBIA
13065401;VIATICOS EXTRANJERAS LIGA FEMENINA BASKET PRODUCTO 1
13065901;(REMO) AD 2013 ESPAãA
13066401;(BOWLING) PART 2 PROD 1 MIAMI
13066901;(TIRO AL VUELO) AD 2013
13067001;PENTATLON MOD AD 2013 II REP DOM
13067002;PENTAT MOD AD 2013 II HUNGRIA
13067003;PENTAT MOD AD 2013 II CHINA
13067101;(TAEKWONDO) AD 2013 II
13067401;PATIN CARRERA COLOMBIA
13067501;GIMNASIA ACT 1 MEXICO
13067502;GIMNASIA ACT 2 UCRANIA
13067503;GIMNASIA ACT 3 GAF BELGICA
13067504;GIMNASIA ACT 4 BELGICA GAM
13067540;GIMNASIA ACT 4 GAM BELGICA
13067601;(BOXEO) PARTE 2 ACT 1 VENEZUELA
13067602;(BOXEO) PARTE 2 ACT 2 PUERTO RICO
13067603;(BOXEO) PARTE 2 ACT 3 PUERTO RICO- VENEZUELA
13067701;(TENIS MESA) AD 2013 II FRANCIA
13067702;(TENIS MESA) AD 2013 II CROACIA
13067703;(TENIS MESA) AD 2013 II BRASIL
13067704;(TENIS MESA) AD 2013 II REP.CHECA
13067705;(TENIS MESA) AD 2013 II ALEMANIA
13067706;(TENIS MESA) AD 2013 II RM
13069201;TROFEOS LIGAS VOLLEY PRODUCTO 1
13069501;(TIRO AL BLANCO) IMPLEMENTACION MUNICIONES AD 2013
13070002;
13071001;SQUASH AD 2013 II
13071101;(TEAKWONDO) PARTE 3 AD 2013
13071102;TKD AD 2013 III ARGENTINA
13071501;(IMPLEMENTACION) RIFLE GONZALO MONCADA
13071502;(IMPLEMENTACION) CANOA JONATHAN TAFRA
13071801;PROY 718 TROFEOS Y MEDALLAS, PRODUCTO 1
13071901;ESGRIMA ACT 1 ARGENTINA
13071902;ESGRIMA ACT 2 ARGENTINA
13072701;PROYECTO 272 (COMPLEMENTARIO), TRANSPORTE FEMENINA
13072901;RACQUETBALL  AD 2013 II EEUU
13073101;JUDO COMPLEMENTO HEAD COCH
13073300;
13073301;LIGA A1 DE VOLLEY PRODUCTO 1, TRANSPORTE
13073302;PRODUCTO 2 LIGA A1 VOLLEY, VIATICOS
13073303;LIGA A1 VOLLEYBALL PRODUCTO 3, ALIMENTACION Y ALOJAMIENTO
13073304;LIGA A1 VOLLEY, PRODUTO 4 GASTOS GRALES
13073401;PRODUCTO 1 VIATICOS, LIGA MOVISTAR
13073402;LIGA MOVISTAR PRODUCTO 2, TRANSPORTE
13073501;(VOLEIBOL PLAYA) AD 2013 III BRASIL
13073601;(PESAS) AD 2013 V RM
13073701;NATACION  2 CONCENTRADO NACIONAL
13073801;(NATACION) PARTE 3 AD 2013
13073802;NATACION ACT 2
13073803;NATACION ACT 3
13074001;(CICLISMO) PARTE 2 ACT 1 AUCKLAND
